Table 1
Dates,Camp # '25,Arena Name,Camp Cost 25,City / Town / State,Camp Description,Times,Ages,
6/9/2025 - 6/13/2025,1-25,North Shore Ice Arena,$725.00 ,"Northbrook, IL",Skating/Edge/Stickhandling,9:00am - 3:00pm,7 -15 yrs,Sold Out
6/9/2025 - 6/13/2025,2-25,North Shore Ice Arena,$575.00 ,"Northbrook, IL",Skating/Edge/Stickhandling,9:00am - 11:50am,7 -15 yrs,Sold Out
6/9/2025 - 6/13/2025,3-25,McDonald Memorial Center,$695.00 ,"Eagle River, AK",Total Skills Development ,9:00am - 3:00pm,7 - 17 yrs,
6/9/2025 - 6/13/2025,4-25,McDonald Memorial Center,$550.00 ,"Eagle River, AK",Total Skills Development ,9:00am - 11:50am,7 - 17 yrs,
,,,,,,,,
,,,,,,,,
6/16/2025 6/20/2025,5-25,Seawolf Sport Complex (UAA),$695.00 ,Anchorage AK,Total Skills Development ,9:00am - 3:00pm,7 - 17 yrs,Sold Out
6/16/2025 6/20/2025,6-25,Seawolf Sport Complex (UAA),$550.00 ,Anchorage AK,Total Skills Development ,9:00am - 11:50am,7 - 17 yrs,Sold Out
6/16/2025 6/20/2025,7-25,Addison Ice,$685.00 ,Addison IL,Total Skills Development ,9:00am - 3:00pm,7 - 15 yrs,Sold Out
6/16/2025 6/20/2025,8-25,Addison Ice,$550.00 ,Addison IL,Total Skills Development ,9:00am - 11:50am,7 - 15 yrs,Sold Out
6/16/2025 6/20/2025,9-25,Lakeshore Sports Centre,$650.00 ,Muskegon MI,Total Skills Development ,9:00am - 3:00pm,7 - 15 yrs,
6/16/2025 6/20/2025,10-25,Lakeshore Sports Centre,$495.00 ,Muskegon MI,Total Skills Development ,9:00am - 11:50am,7 - 15 yrs,Sold Out
6/16/2025 6/20/2025,13-25,Maryville University Hockey Center,$635.00 ,"Chesterfield, MO",Total Skills Development ,9:00am - 3:00pm,7 - 15 yrs,Sold Out
6/16/2025 6/20/2025,14-25,Maryville University Hockey Center,$525.00 ,"Chesterfield, MO",Total Skills Development ,9:00am - 11:50am,7 - 15 yrs,Sold Out
,,,,,,,,
,,,,,,,,
