Season,Location,Registration link
2025 Summer Camps,UAA - Seawolf Sports Complex,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1654745
2025 Summer Camps,"Ed Burns Arena, Arlington MA",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466503
2025 Summer Camps,"Community Center, Hyannis MA",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466501
2025 Summer Camps,Summer Goalie,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1695645
2025 Summer Camps,New Jersey Shore Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466703
2025 Summer Camps,"Cairns Arena, S. Burlington VT",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466701
2025 Summer Camps,Three Rivers Athletic Complex,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1815441
2025 Summer Camps,Soldotna Regional Sports Complex,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1849745
2025 Summer Camps,Valley Sports Arena Rink 2,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=642201
2025 Summer Camps,"Union Ice Arena, Woodstock VT",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466902
2025 Summer Camps,"South Windsor Arena, South Windsor CT",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466901
2025 Summer Camps,Essex Sports Center,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1368706
2025 Summer Camps,Steel Ice Center,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1605838
2025 Summer Camps,Chilled Pond Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=467102
2025 Summer Camps,Boss Ice Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1149003
2025 Summer Camps,"Tri-Town Ice Arena, Hooksett NH",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=467101
2025 Summer Camps,Pirelli Veterans Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1814144
2025 Summer Camps,Patty Ice Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1815431
2025 Summer Camps,"McDonald Memorial Center, Eagle River AK",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=654804
2025 Summer Camps,"Chase Arena, Natick MA",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466403
2025 Summer Camps,Pilgrim Skating Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1275702
2025 Summer Camps,The Canton Ice House,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1269110
2025 Summer Camps,NESV,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1368306
2025 Summer Camps,Valley Forum Haverhill,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1269813
2025 Summer Camps,Spartan Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1758131
2025 Summer Camps,Hatfield Ice World,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=467502
2025 Summer Camps,American Heartland Ice Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1815537
2025 Summer Camps,Maryville University Hockey Center,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1814838
2025 Summer Camps,Lakeshore Sports Centre,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1658743
2025 Summer Camps,Valley Sports Arena Rink 1,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=459703
2025 Summer Camps,Canlan Ice Sports: Romeoville IL,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466804
2025 Summer Camps,"Roche Arena, West Roxbury MA",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466803
2025 Summer Camps,"O'Brien Arena, Woburn MA",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466802
2025 Summer Camps,Tim Hortons IcePlex,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1815341
2025 Summer Camps,"New England Sports Center, Marlboro MA",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=466302
2025 Summer Camps,Raymond Bourque Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=707504
2025 Summer Camps,"North Shore Ice Arena, Northbrook IL",https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=467004
2025 Summer Camps,Addison Ice Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=1369512
2025 Summer Camps,The Bog Ice Arena,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&location=467001
