Season,Session,Location,Start Date,End Date,Registration link
2025 Summer Camps,37-25,"New England Sports Center, Marlboro MA",07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63961844
2025 Summer Camps,38-25,Valley Sports Arena Rink 1,07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63961944
2025 Summer Camps,96-25,Boss Ice Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962044
2025 Summer Camps,47-25,Boss Ice Arena,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962144
2025 Summer Camps,54-25,Valley Sports Arena Rink 1,07/14/2025,07/18/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962244
2025 Summer Camps,34-25,"Cairns Arena, S. Burlington VT",06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962344
2025 Summer Camps,3-25,"McDonald Memorial Center, Eagle River AK",06/09/2025,06/13/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962444
2025 Summer Camps,44-25,"Union Ice Arena, Woodstock VT",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962544
2025 Summer Camps,32-25,Valley Sports Arena Rink 2,06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962744
2025 Summer Camps,71-25,Valley Sports Arena Rink 2,07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962844
2025 Summer Camps,49-25,"Cairns Arena, S. Burlington VT",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63962944
2025 Summer Camps,140-25,"New England Sports Center, Marlboro MA",08/18/2025,08/21/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963044
2025 Summer Camps,106-25,"New England Sports Center, Marlboro MA",08/04/2025,08/07/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963144
2025 Summer Camps,35-25,Pilgrim Skating Arena,06/30/2025,07/03/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963244
2025 Summer Camps,119-25,"New England Sports Center, Marlboro MA",08/11/2025,08/14/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963344
2025 Summer Camps,138-25,Valley Sports Arena Rink 2,08/18/2025,08/22/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963444
2025 Summer Camps,131-25,Raymond Bourque Arena,08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963544
2025 Summer Camps,127-25,"South Windsor Arena, South Windsor CT",08/11/2025,08/15/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963644
2025 Summer Camps,41-25,"Community Center, Hyannis MA",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963744
2025 Summer Camps,12-25,Patty Ice Arena,06/16/2025,06/20/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963844
2025 Summer Camps,78-25,Raymond Bourque Arena,07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63963944
2025 Summer Camps,27-25,"McDonald Memorial Center, Eagle River AK",06/23/2025,06/27/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964044
2025 Summer Camps,20-25,New Jersey Shore Arena,06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964144
2025 Summer Camps,94-25,Pilgrim Skating Arena,07/28/2025,07/31/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964344
2025 Summer Camps,51-25,The Bog Ice Arena,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964444
2025 Summer Camps,82-25,"Union Ice Arena, Woodstock VT",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964544
2025 Summer Camps,1-25,"North Shore Ice Arena, Northbrook IL",06/09/2025,06/13/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964644
2025 Summer Camps,48-25,Boss Ice Arena,07/07/2025,07/10/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964744
2025 Summer Camps,139-25,"New England Sports Center, Marlboro MA",08/18/2025,08/21/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63964844
2025 Summer Camps,74-25,The Bog Ice Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965044
2025 Summer Camps,81-25,"Union Ice Arena, Woodstock VT",07/21/2025,07/25/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965144
2025 Summer Camps,63-25,"Tri-Town Ice Arena, Hooksett NH",07/14/2025,07/17/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965244
2025 Summer Camps,61-25,Boss Ice Arena,07/14/2025,07/17/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965344
2025 Summer Camps,86-25,Valley Sports Arena Rink 1,07/28/2025,08/01/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965444
2025 Summer Camps,18-25,"New England Sports Center, Marlboro MA",06/23/2025,06/26/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965544
2025 Summer Camps,200-25 Goalie,Summer Goalie,06/09/2025,08/22/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965644
2025 Summer Camps,43-25,"Union Ice Arena, Woodstock VT",07/07/2025,07/11/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965844
2025 Summer Camps,73-25,The Bog Ice Arena,07/21/2025,07/24/2025,https://campscui.active.com/orgs/GregCartersEuropeanHockeyCamp?season=3547344&session=63965944
